user_id,movie_id,rating,title
196,242,3,Kolya
186,302,3,L.A. Confidential
22,377,1,Heavyweights
244,51,2,Legends of the Fall
166,346,1,Jackie Brown
298,474,4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
115,265,2,"Hunt for Red October, The"
253,465,5,"Jungle Book, The"
305,451,3,Grease
6,86,3,"Remains of the Day, The"
62,257,2,Men in Black
286,1014,5,Romy and Michele's High School Reunion
200,222,5,Star Trek: First Contact
210,40,3,"To Wong Foo, Thanks for Everything! Julie Newmar"
224,29,3,Batman Forever
303,785,3,Only You
122,387,5,"Age of Innocence, The"
194,274,2,Sabrina
291,1042,4,Just Cause
234,1184,2,"Endless Summer 2, The"
119,392,4,"Man Without a Face, The"
167,486,4,Sabrina
299,144,4,Die Hard
291,118,2,Twister
308,1,4,Toy Story
95,546,2,Broken Arrow
38,95,5,Aladdin
102,768,2,Casper
63,277,4,Restoration
160,234,5,Jaws
50,246,3,Chasing Amy
301,98,4,"Silence of the Lambs, The"
225,193,4,"Right Stuff, The"
290,88,4,Sleepless in Seattle
97,194,3,"Sting, The"
157,274,4,Sabrina
181,1081,1,Curdled
278,603,5,Rear Window
276,796,1,Speechless
7,32,4,Crumb
10,16,4,French Twist
284,304,4,Fly Away Home
201,979,2,"Trigger Effect, The"
276,564,3,Tales from the Hood
287,327,5,Cop Land
246,201,5,Evil Dead II
242,1137,5,Beautiful Thing
249,241,5,"Last of the Mohicans, The"
99,4,5,Get Shorty
178,332,3,Kiss the Girls
251,100,4,Fargo
81,432,2,Fantasia
260,322,4,Murder at 1600
25,181,5,Return of the Jedi
59,196,5,Dead Poets Society
72,679,2,Conan the Barbarian
87,384,4,Naked Gun 33 1/3: The Final Insult
290,143,5,"Sound of Music, The"
42,423,5,E.T. the Extra-Terrestrial
292,515,4,"Boot, Das"
115,20,3,Angels and Insects
20,288,1,Scream
201,219,4,"Nightmare on Elm Street, A"
13,526,3,Ben-Hur
246,919,4,"City of Lost Children, The"
138,26,5,"Brothers McMullen, The"
167,232,1,Young Guns
60,427,5,To Kill a Mockingbird
57,304,5,Fly Away Home
223,274,4,Sabrina
189,512,4,Wings of Desire
243,15,3,Mr. Holland's Opus
92,1049,1,House Arrest
246,416,3,Old Yeller
194,165,4,Jean de Florette
241,690,2,Seven Years in Tibet
178,248,4,Grosse Pointe Blank
254,1444,3,That Darn Cat!
293,5,3,Copycat
127,229,5,Star Trek III: The Search for Spock
225,237,5,Jerry Maguire
299,229,3,Star Trek III: The Search for Spock
225,480,5,North by Northwest
276,54,3,Outbreak
291,144,5,Die Hard
222,366,4,Dangerous Minds
267,518,5,Miller's Crossing
42,403,3,Batman
11,111,4,"Truth About Cats & Dogs, The"
95,625,4,"Sword in the Stone, The"
8,338,4,Bean
162,25,4,"Birdcage, The"
87,1016,4,Con Air
279,154,5,Monty Python's Life of Brian
145,275,2,Sense and Sensibility
119,1153,5,Backbeat
62,498,4,"African Queen, The"
62,382,3,"Adventures of Priscilla, Queen of the Desert, The"
28,209,4,This Is Spinal Tap
135,23,4,Taxi Driver
32,294,3,Liar Liar
90,382,5,"Adventures of Priscilla, Queen of the Desert, The"
286,208,4,Young Frankenstein
293,685,3,Executive Decision
216,144,4,Die Hard
166,328,5,Conspiracy Theory
250,496,4,It's a Wonderful Life
271,132,5,"Wizard of Oz, The"
160,174,5,Raiders of the Lost Ark
265,118,4,Twister
198,498,3,"African Queen, The"
42,96,5,Terminator 2: Judgment Day
168,151,5,Willy Wonka and the Chocolate Factory
110,307,4,"Devil's Advocate, The"
58,144,4,Die Hard
90,648,4,"Quiet Man, The"
271,346,4,Jackie Brown
62,21,3,Muppet Treasure Island
279,832,3,Bogus
237,514,4,Annie Hall
94,789,4,Swimming with Sharks
128,485,3,My Fair Lady
298,317,4,In the Name of the Father
44,195,5,"Terminator, The"
264,200,5,"Shining, The"
194,385,2,True Lies
72,195,5,"Terminator, The"
222,750,5,Amistad
250,264,3,Mimic
41,265,3,"Hunt for Red October, The"
224,245,3,"Devil's Own, The"
82,135,3,2001: A Space Odyssey
262,1147,4,My Family
293,471,3,Courage Under Fire
216,658,3,Pump Up the Volume
250,140,3,Homeward Bound: The Incredible Journey
59,23,5,Taxi Driver
286,379,5,Tales From the Crypt Presents: Demon Knight
244,815,4,One Fine Day
7,479,4,Vertigo
174,368,1,Bio-Dome
87,274,4,Sabrina
194,1211,2,Blue Sky
82,1134,2,Get on the Bus
13,836,2,Ninotchka
13,272,4,Good Will Hunting
244,756,2,Father of the Bride Part II
305,427,5,To Kill a Mockingbird
95,787,2,Roommates
43,14,2,"Postino, Il"
299,955,4,Before Sunrise
57,419,3,Mary Poppins
84,405,3,Mission: Impossible
269,504,4,Bonnie and Clyde
299,111,3,"Truth About Cats & Dogs, The"
194,466,4,Red Rock West
160,135,4,2001: A Space Odyssey
99,268,3,Chasing Amy
10,486,4,Sabrina
259,117,4,"Rock, The"
85,427,3,To Kill a Mockingbird
303,919,4,"City of Lost Children, The"
213,273,5,Heat
